horizon_h,model,rmse,mae,smape,pinball_q10,pinball_q50,pinball_q90,interval_coverage_80
0,sarimax_multi_fixed_origin,8901.770045988262,7625.175940224702,12.928683044054562,,,,
24,naive_calendar,6549.644112527872,4331.055512721666,7.433637542238985,,,,
24,hour_dow_median_train,8840.635475193107,6574.966075558982,11.524129886587936,,,,
24,ridge,4191.598669433546,3218.516674622055,5.576239451964861,,,,
24,hist_gradient_boosting,2345.78619696317,1473.4904438379172,2.53593063430675,,,,
24,lightgbm_quantile,2451.431339322994,1519.3359899402824,2.6188496790878477,483.00856365341065,759.6679949701412,409.72501307468553,0.558982266769468
24,ensemble_nonneg_weights,2339.060619232542,1455.690961811292,2.5058894133511305,,,,
168,naive_calendar,6899.86213750512,4530.626831148805,7.8242380440301975,,,,
168,hour_dow_median_train,6730.581525224598,5785.233616037009,10.207205181977109,,,,
168,ridge,5316.822685393724,3355.262309810681,5.832756388854089,,,,
168,hist_gradient_boosting,4067.849687439263,2616.5848248426946,4.573572880591881,,,,
168,lightgbm_quantile,3868.481704356996,2496.752679658517,4.351676500584104,728.8615053342427,1248.3763398292585,593.3120359950142,0.5481881264456437
168,ensemble_nonneg_weights,3868.481704356996,2496.752679658517,4.351676500584104,,,,
